sigla_uf,situacao_domicilio,comodos,condicao_domicilio,banheiros,moradores,homens,mulheres,agua,coleta_lixo,iluminacao,radio,geladeira,videocassete,maquina_lavar,microondas,telefone,computador,televisores,automoveis,ar_condicionado,iluminacao_publica,pavimentacao,rendimento
SP,1,7,1,2,4,0,4,1,1,1,1,1,1,1,1,1,2,1,0,0,4,1,3500
RJ,1,7,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,3,0,1,3,1,1700
RJ,1,3,3,1,1,1,0,1,2,1,1,2,2,2,2,2,2,0,0,0,1,3,750
GO,2,1,1,0,2,1,1,2,3,1,1,2,2,2,2,2,2,1,0,0,2,3,200
MG,1,7,1,1,2,1,1,1,3,1,1,1,2,2,2,2,2,0,0,0,2,3,165
CE,1,4,3,1,4,1,3,1,1,1,1,1,1,2,2,2,2,1,0,0,4,2,451
MG,2,3,1,0,4,1,3,2,3,1,2,2,2,2,2,2,2,0,0,0,4,3,200
SP,1,2,1,1,1,0,1,1,2,1,1,1,1,2,2,1,2,1,0,0,1,2,395
MA,1,5,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,0,0,2,1,310
RJ,1,5,4,1,1,1,0,1,1,1,2,2,2,2,2,2,2,0,0,0,1,1,500
RO,2,4,1,0,4,2,2,2,3,2,1,2,2,2,2,2,2,0,0,0,4,3,1000
SC,1,7,1,1,2,0,2,3,1,1,1,1,2,1,2,1,2,1,1,0,2,,1002
RJ,1,6,5,1,3,2,1,1,1,1,1,1,2,1,2,1,2,1,0,1,3,1,597
MA,1,4,1,1,4,3,1,1,1,1,2,1,2,2,2,2,2,1,0,0,4,1,90
PB,1,6,1,1,7,3,4,1,1,1,1,1,2,2,2,2,2,1,0,0,7,2,1170
MA,1,5,1,1,6,3,3,1,1,1,1,1,1,2,2,1,2,1,0,0,6,3,800
SP,1,6,1,2,4,2,2,1,1,1,1,1,1,1,1,1,1,2,1,0,4,1,2000
SP,1,5,3,1,5,2,3,1,1,1,1,1,2,2,2,2,2,2,0,0,5,1,1100
SP,1,10,1,2,3,2,1,1,1,1,1,1,2,1,2,1,2,2,2,0,3,1,2300
PE,1,6,1,1,5,3,2,1,1,1,1,1,1,1,2,2,2,2,0,0,5,,451
MT,2,4,1,0,5,3,2,2,3,1,2,2,2,2,2,2,2,1,1,1,5,3,151
PR,1,5,3,1,2,0,2,1,1,1,1,1,2,2,2,2,2,0,0,0,2,3,265
SP,1,4,3,1,3,2,1,1,1,1,1,1,2,1,2,2,2,1,0,0,3,1,940
PR,1,5,1,1,3,0,3,1,1,1,1,1,2,2,2,2,2,1,0,0,3,1,250
RJ,1,4,3,1,2,1,1,2,4,1,2,1,2,2,2,2,2,1,0,0,2,3,2200
PE,1,5,3,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,2,,302
PE,1,5,1,1,3,1,2,2,1,1,1,1,2,1,1,1,2,2,0,0,3,,100
SC,1,10,2,3,5,2,3,1,1,1,1,1,1,1,1,1,1,3,2,0,5,,4340
CE,1,15,1,1,6,2,4,1,1,1,1,1,2,1,2,1,1,2,1,0,6,1,1350
SP,1,7,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,2,1,1645
SP,1,5,1,1,4,1,3,1,1,1,1,1,1,1,2,2,2,1,0,0,4,1,2350
SP,1,5,3,1,4,2,2,1,1,1,1,1,1,1,1,2,2,2,0,0,4,1,3000
MG,1,6,3,0,4,2,2,1,1,1,1,1,2,2,2,2,2,0,0,0,4,3,151
SC,2,8,1,1,4,1,3,1,1,1,1,1,2,1,2,2,2,1,1,0,4,,801
RS,1,9,3,2,4,2,2,1,1,1,1,1,1,1,2,1,2,2,1,0,4,1,1715
RJ,2,6,1,2,1,0,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,3,700
PR,2,9,5,1,3,1,2,2,3,1,1,1,2,2,1,2,2,1,0,0,3,2,120
SP,1,4,3,1,4,0,4,1,1,1,1,1,1,1,1,2,2,2,1,0,4,9,1500
MA,2,5,1,0,3,2,1,3,5,2,2,2,2,2,2,2,2,0,0,0,3,3,120
MA,1,3,1,1,5,1,4,1,5,1,1,1,2,2,2,2,2,1,0,0,5,1,60
CE,2,5,1,0,3,1,2,2,5,2,1,2,2,2,2,2,2,1,0,0,3,3,188
MG,1,5,1,1,4,2,2,1,1,1,1,1,2,2,2,1,2,1,1,0,4,1,782
RJ,1,13,1,2,4,1,3,1,1,1,1,1,1,1,2,1,2,4,1,0,4,2,1700
RJ,1,7,5,2,1,0,1,1,2,1,1,1,2,1,2,1,2,1,0,0,1,1,2000
PA,2,2,4,0,7,5,2,2,6,2,2,2,2,2,2,2,2,0,0,0,7,9,150
RS,1,9,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,3,1,0,3,1,1462
SC,1,2,1,0,1,0,1,1,3,2,1,2,2,2,2,2,2,0,0,0,1,,151
SP,1,4,5,1,4,2,2,1,1,1,1,1,1,1,1,1,1,2,0,0,4,1,500
PE,1,6,1,2,6,2,4,1,1,1,1,1,2,2,2,2,2,1,0,0,6,,661
GO,1,8,1,0,8,4,4,1,1,1,1,1,2,2,2,2,2,1,0,0,8,1,501
RS,2,9,1,1,5,3,2,2,3,1,1,1,2,1,2,2,2,1,1,0,5,3,430
RS,1,5,1,1,1,0,1,1,1,1,1,1,2,2,2,2,2,0,0,0,1,1,400
RS,1,5,1,1,4,1,3,1,3,1,1,1,2,2,2,2,2,1,0,0,4,1,3000
PE,1,8,4,2,5,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,5,,1750
PR,1,5,5,1,5,1,4,1,1,1,1,1,2,2,2,2,2,1,0,0,5,1,451
